% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{llcllrrrllrrrllrrrllrrrll}
\multicolumn{25}{c}{\textbf{2009-2010 Award Year FFEL Volume by School}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             \\
\multicolumn{25}{c}{Award Year Quarterly Activity  (07/01/2009-09/30/2009)}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          \\
\multicolumn{25}{c}{Data Run: 4/5/2012}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              \\
\multicolumn{1}{c}{}                                        & \multicolumn{1}{c}{}                                               &                & \multicolumn{1}{c}{}                                          & \multicolumn{1}{c}{}                                             & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                            & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                        & \multicolumn{1}{c}{}                                                     & \multicolumn{1}{c}{}                                                     \\
\multicolumn{1}{c}{}                                        &                                                                    &                & \multicolumn{1}{c}{}                                          & \multicolumn{1}{c}{}                                             & \multicolumn{5}{c}{\cellcolor[HTML]{CCFFFF}\textbf{FFEL SUBSIDIZED}}                                                                                                                                                                                                                                                                                                              & \multicolumn{5}{c}{\cellcolor[HTML]{FFCC99}\textbf{FFEL UNSUBSIDIZED}}                                                                                                                                                                                                                                                                                                            & \multicolumn{5}{c}{\cellcolor[HTML]{FFFF99}\textbf{FFEL PARENT PLUS}}                                                                                                                                                                                                                                                                                                             & \multicolumn{5}{c}{\cellcolor[HTML]{CCCCFF}\textbf{FFEL GRAD PLUS}}                                                                                                                                                                                                                                                                                                               \\
\rowcolor[HTML]{FFFFFF} 
\multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{OPE ID}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{School}}        & \textbf{State} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{Zip Code}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{School Type}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{Recipients}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{Recipients}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{Recipients}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{Recipients}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Loans Originated}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\# of Disbursements}} & \multicolumn{1}{c}{\cellcolor[HTML]{FFFFFF}\textbf{\$ of Disbursements}} \\
00106100                                                    & ALASKA PACIFIC UNIVERSITY                                          & AK             & 995084672                                                     & PRIVATE                                                          & 291                                                             & 291                                                                         & \$1,546,994.00                                                              & 292                                                                      & \$830,513.00                                                             & 267                                                             & 271                                                                         & \$1,674,604.00                                                              & 271                                                                      & \$896,614.00                                                             & 31                                                              & 33                                                                          & \$386,770.00                                                                & 35                                                                       & \$192,181.00                                                             & 5                                                               & 5                                                                           & \$69,730.00                                                                 & 5                                                                        & \$34,865.00                                                              \\
00106300                                                    & UNIVERSITY OF ALASKA FAIRBANKS                                     & AK             & 997757500                                                     & PUBLIC                                                           & 1,413                                                           & 1,434                                                                       & \$6,394,735.00                                                              & 1,455                                                                    & \$3,290,699.00                                                           & 1,472                                                           & 1,521                                                                       & \$8,806,921.00                                                              & 1,542                                                                    & \$4,472,224.00                                                           & 36                                                              & 40                                                                          & \$265,784.00                                                                & 40                                                                       & \$138,160.00                                                             & 4                                                               & 4                                                                           & \$68,620.00                                                                 & 4                                                                        & \$28,988.00                                                              \\
00106500                                                    & UNIVERSITY OF ALASKA SOUTHEAST                                     & AK             & 998018680                                                     & PUBLIC                                                           & 406                                                             & 409                                                                         & \$1,866,473.00                                                              & 439                                                                      & \$1,044,946.00                                                           & 437                                                             & 448                                                                         & \$2,925,528.00                                                              & 478                                                                      & \$1,558,767.00                                                           & 8                                                               & 8                                                                           & \$88,046.00                                                                 & 8                                                                        & \$44,024.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
01146200                                                    & UNIVERSITY OF ALASKA ANCHORAGE                                     & AK             & 995088050                                                     & PUBLIC                                                           & 2,998                                                           & 3,042                                                                       & \$12,780,036.00                                                             & 3,045                                                                    & \$6,440,086.00                                                           & 3,343                                                           & 3,432                                                                       & \$20,274,742.00                                                             & 3,435                                                                    & \$10,219,443.00                                                          & 123                                                             & 125                                                                         & \$1,288,224.00                                                              & 125                                                                      & \$645,683.00                                                             & 9                                                               & 11                                                                          & \$43,878.00                                                                 & 11                                                                       & \$24,063.00                                                              \\
02541000                                                    & ALASKA CAREER COLLEGE                                              & AK             & 995071033                                                     & PROPRIETARY                                                      & 38                                                              & 38                                                                          & \$103,869.00                                                                & 38                                                                       & \$52,178.00                                                              & 37                                                              & 37                                                                          & \$134,553.00                                                                & 37                                                                       & \$67,331.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
02576900                                                    & CHARTER COLLEGE                                                    & AK             & 995084103                                                     & PROPRIETARY                                                      & 192                                                             & 192                                                                         & \$516,838.00                                                                & 193                                                                      & \$255,514.00                                                             & 206                                                             & 322                                                                         & \$653,151.00                                                                & 328                                                                      & \$298,655.00                                                             & 4                                                               & 4                                                                           & \$20,866.00                                                                 & 5                                                                        & \$12,783.00                                                              & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
03160300                                                    & AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY                           & AK             & 996640889                                                     & PUBLIC                                                           & 28                                                              & 28                                                                          & \$91,694.00                                                                 & 28                                                                       & \$43,507.00                                                              & 42                                                              & 42                                                                          & \$197,864.00                                                                & 42                                                                       & \$94,351.00                                                              & 2                                                               & 2                                                                           & \$17,276.00                                                                 & 2                                                                        & \$8,638.00                                                               & -                                                               & -                                                                           & \$-                                                                         & 0                                                                        & \$-                                                                      \\
