% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{clllcccccccccccccc}
\multicolumn{18}{c}{\textbf{MUSA ILIASU COLLEGE, KANO.}}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  \\
\multicolumn{18}{c}{CONTINUOUS ASSESSMENT/EXAMINATION}                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    \\
\multicolumn{1}{l}{\textbf{}} & \textbf{1st Term} & \multicolumn{1}{r}{\textbf{Session:}} & \textbf{2013/2014} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{r}{\textbf{Class:}} & \multicolumn{1}{l}{\textbf{JSS 1A}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{Subject:}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{COMPUTER SCIENCE}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{\textbf{}} & \multicolumn{1}{l}{} \\
\textbf{S/N}                  & \multicolumn{3}{c}{\textbf{NAMES}}                                             & \textbf{TEST 1}               & \textbf{ASSIGNMENT}                 & \textbf{TOTAL}                      & \textbf{POSITION}             & \textbf{TEST 2}               & \textbf{ASSIGNMENT}           & \textbf{TOTAL}                        & \textbf{POSITION}             & \textbf{TOTAL}                                & \textbf{POSITION}             & \textbf{EXAM}                 & \textbf{POSITION}             & \textbf{TOTAL}                & \textbf{POSITION}    \\
\textbf{}                     & \textbf{}         &                                       &                    & \textbf{15}                   & \textbf{5}                          & \textbf{20}                         & \textbf{}                     & \textbf{15}                   & \textbf{5}                    & \textbf{20}                           & \textbf{}                     & \textbf{40}                                   & \textbf{}                     & \textbf{60}                   & \textbf{}                     & \textbf{100}                  & \textbf{}            \\
\textbf{1}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}4     & 5                                   & 9                                   & 29th                          &                               &                               &                                       &                               & \cellcolor[HTML]{FFC7CE}9                     & 67th                          & \cellcolor[HTML]{FFC7CE}23    & 60th                          & \cellcolor[HTML]{FFC7CE}32    & 66th                 \\
\textbf{2}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}1     & 5                                   & \cellcolor[HTML]{FFC7CE}6           & 46th                          & \cellcolor[HTML]{FFC7CE}4     & 5                             & 9                                     & 49th                          & \cellcolor[HTML]{FFC7CE}15                    & 53rd                          & 34                            & 39th                          & 49                            & 55th                 \\
\textbf{3}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}1     & 5                                   & \cellcolor[HTML]{FFC7CE}6           & 46th                          & \cellcolor[HTML]{FFC7CE}2     & 5                             & \cellcolor[HTML]{FFC7CE}7             & 57th                          & \cellcolor[HTML]{FFC7CE}13                    & 58th                          & 45                            & 12th                          & 58                            & 42nd                 \\
\textbf{4}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}1     & 5                                   & \cellcolor[HTML]{FFC7CE}6           & 46th                          & \cellcolor[HTML]{FFC7CE}3     & 5                             & \cellcolor[HTML]{FFC7CE}8             & 52nd                          & \cellcolor[HTML]{FFC7CE}14                    & 56th                          & \cellcolor[HTML]{FFC7CE}23    & 60th                          & \cellcolor[HTML]{FFC7CE}37    & 62nd                 \\
\textbf{5}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}1     & 5                                   & \cellcolor[HTML]{FFC7CE}6           & 46th                          & \cellcolor[HTML]{FFC7CE}5     & 5                             & 10                                    & 38th                          & \cellcolor[HTML]{FFC7CE}16                    & 47th                          & 44                            & 24th                          & 60                            & 38th                 \\
\textbf{6}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}1     & 5                                   & \cellcolor[HTML]{FFC7CE}6           & 46th                          & \cellcolor[HTML]{FFC7CE}1     & 5                             & \cellcolor[HTML]{FFC7CE}6             & 63rd                          & \cellcolor[HTML]{FFC7CE}12                    & 63rd                          & \cellcolor[HTML]{FFC7CE}25    & 57th                          & \cellcolor[HTML]{FFC7CE}37    & 62nd                 \\
\textbf{7}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & 9                             & 5                                   & 14                                  & 7th                           & \cellcolor[HTML]{FFC7CE}5     & 5                             & 10                                    & 38th                          & 24                                            & 19th                          & 38                            & 38th                          & 62                            & 32nd                 \\
\textbf{8}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}4.5   & 5                                   & 9.5                                 & 25th                          & \cellcolor[HTML]{FFC7CE}1     & 5                             & \cellcolor[HTML]{FFC7CE}6             & 63rd                          & \cellcolor[HTML]{FFC7CE}15.5                  & 51st                          & 54                            & 8th                           & 69.5                          & 16th                 \\
\textbf{9}                    & ABDULLAHI         & ABDUL                                 & MAIDA              & 12.5                          & 5                                   & 17.5                                & 2nd                           & 14                            & 5                             & 19                                    & 4th                           & 36.5                                          & 2nd                           & \cellcolor[HTML]{FFC7CE}23    & 60th                          & 59.5                          & 40th                 \\
\textbf{10}                   & ABDULLAHI         & ABDUL                                 & MAIDA              & \cellcolor[HTML]{FFC7CE}6     & 5                                   & 11                                  & 17th                          & 14                            & 5                             & 19                                    & 4th                           & 30                                            & 7th                           & 54                            & 8th                           & 84                            & 3rd                  \\
