% Please add the following required packages to your document preamble:
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
% \usepackage[normalem]{ulem}
% \useunder{\uline}{\ul}{}
\begin{table}[]
\begin{tabular}{llrr}
 & \textbf{Green areas - Local areas}                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Measure: Land area                                              & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Territorial level: TL2                                          & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Time period: 2021                                               & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & Combined unit of measure: Square kilometres                     & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 &                                                                 & \multicolumn{1}{l}{}                         & \multicolumn{1}{l}{}                         \\
 & \cellcolor[HTML]{E2F2FB}\textbf{Reference area}                 & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} & \multicolumn{1}{l}{\cellcolor[HTML]{F1F1F1}} \\
 & \cellcolor[HTML]{E2F2FB}Australia                               & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  New South Wales                      & \cellcolor[HTML]{F1F1F1}                     & 681,425,575                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Victoria                             & \cellcolor[HTML]{F1F1F1}                     & 165,533,844                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Queensland                           & \cellcolor[HTML]{F1F1F1}                     & 1,593,592,200                                \\
 & \cellcolor[HTML]{E2F2FB}·  South Australia                      & \cellcolor[HTML]{F1F1F1}                     & 769,198,717                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Western Australia                    & \cellcolor[HTML]{F1F1F1}                     & 2,261,581,250                                \\
 & \cellcolor[HTML]{E2F2FB}·  Tasmania                             & \cellcolor[HTML]{F1F1F1}                     & 64,445,729                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Northern Territory                   & \cellcolor[HTML]{F1F1F1}                     & 1,312,543,345                                \\
 & \cellcolor[HTML]{E2F2FB}·  Australian Capital Territory         & \cellcolor[HTML]{F1F1F1}                     & 2,199,503                                    \\
 & \cellcolor[HTML]{E2F2FB}Austria                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Burgenland                           & \cellcolor[HTML]{F1F1F1}                     & 2,065,049                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Lower Austria                        & \cellcolor[HTML]{F1F1F1}                     & 11,948,659                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Vienna                               & \cellcolor[HTML]{F1F1F1}                     & 208,162                                      \\
 & \cellcolor[HTML]{E2F2FB}·  Carinthia                            & \cellcolor[HTML]{F1F1F1}                     & 8,234,367                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Styria                               & \cellcolor[HTML]{F1F1F1}                     & 14,558,152                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Upper Austria                        & \cellcolor[HTML]{F1F1F1}                     & 8,701,965                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Salzburg                             & \cellcolor[HTML]{F1F1F1}                     & 6,154,863                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Tyrol                                & \cellcolor[HTML]{F1F1F1}                     & 9,796,154                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Vorarlberg                           & \cellcolor[HTML]{F1F1F1}                     & 2,290,482                                    \\
 & \cellcolor[HTML]{E2F2FB}Belgium                                 & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Brussels-Capital Region              & \cellcolor[HTML]{F1F1F1}                     & 76,513                                       \\
 & \cellcolor[HTML]{E2F2FB}·  Flemish Region                       & \cellcolor[HTML]{F1F1F1}                     & 7,525,798                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Walloon Region                       & \cellcolor[HTML]{F1F1F1}                     & 11,836,992                                   \\
 & \cellcolor[HTML]{E2F2FB}Canada                                  & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Newfoundland and Labrador            & \cellcolor[HTML]{F1F1F1}                     & 309,281,774                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Prince Edward Island                 & \cellcolor[HTML]{F1F1F1}                     & 3,978,405                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Nova Scotia                          & \cellcolor[HTML]{F1F1F1}                     & 51,465,150                                   \\
 & \cellcolor[HTML]{E2F2FB}·  New Brunswick                        & \cellcolor[HTML]{F1F1F1}                     & 68,901,107                                   \\
 & \cellcolor[HTML]{E2F2FB}·  Quebec                               & \cellcolor[HTML]{F1F1F1}                     & 1,100,430,994                                \\
 & \cellcolor[HTML]{E2F2FB}·  Ontario                              & \cellcolor[HTML]{F1F1F1}                     & 777,819,548                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Manitoba                             & \cellcolor[HTML]{F1F1F1}                     & 450,790,789                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Saskatchewan                         & \cellcolor[HTML]{F1F1F1}                     & 403,802,170                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Alberta                              & \cellcolor[HTML]{F1F1F1}                     & 522,555,079                                  \\
 & \cellcolor[HTML]{E2F2FB}·  British Columbia                     & \cellcolor[HTML]{F1F1F1}                     & 753,384,712                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Yukon                                & \cellcolor[HTML]{F1F1F1}                     & 383,974,912                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Northwest Territories                & \cellcolor[HTML]{F1F1F1}                     & 755,773,143                                  \\
 & \cellcolor[HTML]{E2F2FB}·  Nunavut                              & \cellcolor[HTML]{F1F1F1}                     & 320,058,334                                  \\
 & \cellcolor[HTML]{E2F2FB}Chile                                   & \cellcolor[HTML]{F1F1F1}                     &                                              \\
 & \cellcolor[HTML]{E2F2FB}·  Tarapacá                             & \cellcolor[HTML]{F1F1F1}                     & 4,897,330                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Antofagasta                          & \cellcolor[HTML]{F1F1F1}                     & 2,620,942                                    \\
 & \cellcolor[HTML]{E2F2FB}·  Atacama                              & \cellcolor[HTML]{F1F1F1}                     & 7,065,116                                    \\
