\begin{table}[]
\begin{tabular}{llllllllllllllllllllllllllllllllllllllllllllllllll}
\multicolumn{15}{l}{Knowledge of HST}                                                                  & \multicolumn{3}{l}{Susceptibility to HIV} & \multicolumn{6}{l}{Benefits of HST}     & \multicolumn{6}{l}{Barriers to HST}     & \multicolumn{9}{l}{HST use}                                  & \multicolumn{6}{l}{Demographics}        & \multicolumn{5}{l}{Means}           \\
K1   & K2   & K3   & K4   & K5   & K6   & K8   & K9   & K10  & K11  & K12  & K13  & K14  & K15  & K16  & SUS1         & SUS3         & SUS4        & BEN1 & BEN2 & BEN3 & BEN4 & BEN5 & BEN6 & BAR1 & BAR3 & BAR4 & BAR5 & BAR6 & BAR7 & HST1 & HST2 & HST3 & HST4 & HST5 & HST6 & HST7 & HST8 & HST9 & DC1  & DC2  & DC3  & DC4  & DC5  & DC6  & Knowleg & Susc & Bene & Bar  & Hst  \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 3.00 & 1.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00         & 5.00         & 5.00        & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 3.00 & 3.00 & 5.00 & 2.00 & 1.00 & 2.47    & 3.67 & 4.33 & 1.67 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 2.00 & 5.00 & 4.00 & 1.00 & 4.47    & 5.00 & 5.00 & 2.33 & 4.75 \\
1.00 & 5.00 & 1.00 & 1.00 & 1.00 & 5.00 & 4.00 & 3.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 5.00 & 2.00 & 2.00 & 0    & 3.47    & 5.00 & 4.33 & 4.33 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 4.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 3.00 & 2.00 & 5.00 & 1.00 & 3.93    & 5.00 & 4.83 & 3.17 & 4.63 \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 5.00 & 5.00 & 1.00 & 5.00 & 3.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00         & 1.00         & 4.00        & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 4.00 & 3.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 2.00 & 1.00 & 3.00 & 2.00 & 2.00 & 3.13    & 3.33 & 4.33 & 5.00 & 3.63 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 2.00 & 5.00 & 3.00 & 2.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 3.00 & 2.00 & 1.00 & 4.20    & 5.00 & 4.67 & 3.17 & 4.25 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 1.00 & 2.00 & 1.00 & 1.00 & 4.47    & 5.00 & 4.67 & 5.00 & 5.00 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 6.00 & 5.00 & 2.00 & 5.00 & 1.00 & 4.47    & 5.00 & 4.67 & 4.33 & 5.00 \\
1.00 & 1.00 & 1.00 & 1.00 & 1.00 & 3.00 & 5.00 & 5.00 & 3.00 & 3.00 & 5.00 & 3.00 & 3.00 & 5.00 & 5.00 & 3.00         & 1.00         & 5.00        & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 3.00 & 5.00 & 1.00 & 5.00 & 1.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 2.00 & 1.00 & 4.00 & 3.00 & 2.00 & 3.00    & 3.00 & 4.67 & 3.00 & 4.50 \\
5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 5.00 & 1.00 & 5.00 & 5.00 & 5.00 & 3.00 & 2.00 & 5.00 & 5.00 & 5.00         & 5.00         & 5.00        & 2.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 2.00 & 5.00 & 5.00 & 2.00 & 5.00 & 3.00 & 5.00 & 2.00 & 5.00 & 5.00 & 5.00 & 5.00 & 5.00 & 1.00 & 1.00 & 3.00 & 2.00 & 2.00 & 1.00 & 4.13    & 5.00 & 4.00 & 4.00 & 4.63 \\
