Table 3. Median usual weekly earnings of full-time wage and salary workers, by state, 2016 annual averages										
										
State	Total			Women			Men			"Women's
earnings
as a
percentage
of men's"
	"Number
of
workers
(thousands)"	"Median
weekly
earnings"	"Standard
error
of
median"	"Number
of
workers
(thousands)"	"Median
weekly
earnings"	"Standard
error
of
median"	"Number
of
workers
(thousands)"	"Median
weekly
earnings"	"Standard
error
of
median"	
										
United States	111091	832	2	49161	749	2	61930	915	3	81.9
										
Alabama	1580	743	15	715	651	16	865	856	33	76.1
Alaska	245	932	19	113	841	27	133	1014	27	82.9
Arizona	2213	829	16	947	768	14	1266	890	17	86.3
Arkansas	1014	716	13	459	638	16	555	769	17	83
California	12862	879	8	5383	814	11	7479	925	13	88
Colorado	1995	894	20	841	812	18	1154	967	20	84
Connecticut	1232	1014	27	555	876	33	677	1164	35	75.3
Delaware	357	831	22	166	775	21	191	902	27	85.9
District of Columbia	306	1198	33	152	1117	28	154	1274	38	87.7
Florida	6799	750	6	3158	701	10	3641	805	13	87.1
Georgia	3581	771	13	1654	721	16	1927	839	25	85.9
Hawaii	494	794	16	218	718	21	276	869	29	82.6
Idaho	540	759	14	220	645	18	320	843	19	76.5
Illinois	4513	887	12	1979	775	13	2534	978	19	79.2
Indiana	2402	762	16	1079	702	22	1322	829	22	84.7
Iowa	1143	763	13	528	684	17	614	895	23	76.4
Kansas	1026	762	13	460	692	19	566	851	33	81.3
Kentucky	1413	761	11	650	711	19	763	828	29	85.9
Louisiana	1517	757	15	704	659	21	813	863	28	76.4
Maine	438	820	18	194	754	17	244	900	28	83.8
Maryland	2386	987	23	1120	915	30	1266	1048	50	87.3
Massachusetts	2504	1019	17	1114	932	17	1390	1105	21	84.3
Michigan	3260	841	15	1438	742	12	1822	932	16	79.6
Minnesota	2035	946	16	901	849	25	1134	1020	28	83.2
Mississippi	941	702	15	452	624	18	490	778	26	80.2
Missouri	2199	793	16	1021	703	23	1178	885	29	79.4
Montana	314	781	17	138	705	19	176	866	23	81.4
Nebraska	706	766	11	318	697	18	388	855	23	81.5
Nevada	996	754	12	414	681	15	582	828	23	82.2
New Hampshire	524	904	25	230	762	16	294	1013	24	75.2
New Jersey	3324	998	13	1448	894	25	1877	1113	27	80.3
New Mexico	621	730	16	280	679	22	341	772	24	88
New York	6837	916	10	3145	840	13	3692	975	12	86.2
North Carolina	3533	761	10	1598	704	11	1935	836	19	84.2
North Dakota	299	805	12	131	713	12	168	930	19	76.7
Ohio	3927	806	10	1717	713	10	2210	899	17	79.3
Oklahoma	1248	724	16	534	651	12	714	824	22	79
Oregon	1327	857	18	554	791	24	772	904	23	87.5
Pennsylvania	4453	857	12	1984	741	11	2468	956	12	77.5
Rhode Island	385	839	19	179	765	30	206	907	21	84.3
South Carolina	1623	779	16	773	687	18	851	884	20	77.7
South Dakota	309	778	14	137	670	12	172	876	16	76.5
Tennessee	2252	747	14	983	666	17	1269	821	19	81.1
Texas	9801	780	8	4197	707	10	5603	860	12	82.2
Utah	997	833	18	358	668	16	640	955	20	69.9
Vermont	228	850	14	104	801	27	124	888	27	90.2
Virginia	3025	902	15	1376	809	22	1649	1013	30	79.9
Washington	2506	929	21	1065	814	18	1441	1056	33	77.1
West Virginia	565	762	14	248	688	17	316	846	30	81.3
Wisconsin	2098	843	16	947	737	14	1152	940	20	78.4
Wyoming	199	848	17	82	699	22	117	970	28	72.1
										
"Note: In general, the sampling error for the state estimates is considerably larger than it is for the national estimates; thus, comparisons of state estimates should be made with caution. Data shown are based on workers' state of residence; workers' reported earnings, however, may or may not be from a job located in the same state.
Source: U.S. Bureau of Labor Statistics."										
