% Please add the following required packages to your document preamble:
% \usepackage{multirow}
% \usepackage[table,xcdraw]{xcolor}
% Beamer presentation requires \usepackage{colortbl} instead of \usepackage[table,xcdraw]{xcolor}
\begin{table}[]
\begin{tabular}{cllllllll}
                                & \multicolumn{8}{c}{\textbf{Production (MBPD)}}                                                                                                                                                                          \\
                                & \multicolumn{4}{c}{\textbf{Planned}}                                                                      & \multicolumn{4}{c}{\textbf{Actual}}                                                                         \\
\multirow{-3}{*}{\textbf{Date}} & \multicolumn{1}{c}{U19.3} & \multicolumn{1}{c}{U36} & \multicolumn{1}{c}{U42} & \multicolumn{1}{c}{Total} & \multicolumn{1}{c}{U19.3} & \multicolumn{1}{c}{U36}  & \multicolumn{1}{c}{U42}  & \multicolumn{1}{c}{Total} \\
2017/1/30                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 11.22                     & 8.24                     & 24.18                    & 43.63                     \\
2017/1/31                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 11.20                     & 8.23                     & 24.06                    & 43.49                     \\
2017/2/1                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 11.68                     & 8.16                     & 24.30                    & 44.14                     \\
2017/2/2                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 8.24                      & 7.96                     & 19.39                    & 35.59                     \\
2017/2/3                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 10.62                     & 8.11                     & 24.36                    & 43.09                     \\
2017/2/4                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 11.67                     & 8.05                     & 24.76                    & 44.48                     \\
2017/2/5                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 11.77                     & 8.07                     & 25.42                    & 45.26                     \\
2017/2/6                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & 12.46                     & 8.06                     & 25.62                    & 46.15                     \\
2017/2/7                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/8                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/9                        & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/10                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/11                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/12                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/13                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/14                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/15                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/16                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/17                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/18                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/19                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/20                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/21                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/22                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/23                       & 15.75                     & 5.50                    & 25.00                   & 46.25                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/24                       & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/25                       & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/26                       & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/27                       & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/2/28                       & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/1                        & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/2                        & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
2017/3/3                        & 6.83                      & -                       & 15.00                   & 21.83                     & \cellcolor[HTML]{D9D9D9}  & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9} & \cellcolor[HTML]{D9D9D9}  \\
