\begin{table}[]
\begin{tabular}{lllllllllll}
            & raw clone size data used for Figure 5a,d, Extended Data Figure 11c,d from ovariectomized BRCA1,P53 confetti mouse model &             &       &             &       &             &       &             &       &  \\
            &                                                                                                                         &             &       &             &       &             &       &             &       &  \\
time point  & time point                                                                                                              & 14 days     &       & 64 days     &       & 120 days    &       & 225 days    &       &  \\
Total count &                                                                                                                         & 935         &       & 673         &       & 1130        &       & 418         &       &  \\
            &                                                                                                                         & pooled mice &       & pooled mice &       & pooled mice &       & pooled mice &       &  \\
Clone count &                                                                                                                         & 769         & 166   & 609         & 64    & 969         & 161   & 337         & 81    &  \\
            &                                                                                                                         & Luminal     & Basal & Luminal     & Basal & Luminal     & Basal & Luminal     & Basal &  \\
            &                                                                                                                         & 4           & 2     & 2           & 2     & 1           & 1     & 13          & 2     &  \\
            &                                                                                                                         & 1           & 2     & 2           & 6     & 1           & 2     & 1           & 1     &  \\
            &                                                                                                                         & 1           & 5     & 2           & 2     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 2           & 3     & 1           & 1     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 2           & 2     & 1           & 1     & 1           & 2     & 3           & 16    &  \\
            &                                                                                                                         & 2           & 2     & 1           & 1     & 1           & 1     & 10          & 6     &  \\
            &                                                                                                                         & 2           & 3     & 1           & 1     & 1           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 1     & 3           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 4           & 2     & 1           & 2     & 1           & 1     & 2           & 2     &  \\
            &                                                                                                                         & 2           & 1     & 1           & 1     & 1           & 1     & 2           & 3     &  \\
            &                                                                                                                         & 3           & 1     & 2           & 1     & 1           & 2     & 3           & 1     &  \\
            &                                                                                                                         & 6           & 2     & 2           & 2     & 1           & 1     & 1           & 12    &  \\
            &                                                                                                                         & 4           & 1     & 1           & 3     & 3           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 2           & 1     & 1           & 1     & 1           & 1     & 13          & 3     &  \\
            &                                                                                                                         & 3           & 1     & 2           & 1     & 2           & 1     & 1           & 4     &  \\
            &                                                                                                                         & 2           & 1     & 1           & 4     & 1           & 1     & 7           & 3     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 1           & 1     & 10          & 2     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 1     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 1           & 2     & 2           & 1     & 1           & 2     & 1           & 2     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 1           & 2     & 11          & 2     &  \\
            &                                                                                                                         & 2           & 2     & 1           & 3     & 2           & 1     & 4           & 5     &  \\
            &                                                                                                                         & 2           & 3     & 1           & 2     & 1           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 2     & 1           & 1     & 22          & 1     &  \\
            &                                                                                                                         & 2           & 1     & 1           & 2     & 5           & 1     & 1           & 6     &  \\
            &                                                                                                                         & 3           & 1     & 1           & 2     & 3           & 1     & 5           & 1     &  \\
            &                                                                                                                         & 3           & 1     & 1           & 1     & 4           & 2     & 2           & 1     &  \\
            &                                                                                                                         & 6           & 1     & 1           & 1     & 1           & 1     & 2           & 1     &  \\
            &                                                                                                                         & 1           & 3     & 1           & 1     & 1           & 1     & 1           & 1     &  \\
            &                                                                                                                         & 1           & 2     & 1           & 2     & 1           & 1     & 1           & 2     &  \\
            &                                                                                                                         & 1           & 1     & 1           & 1     & 2           & 2     & 1           & 1     &  \\
