"Table A-7. Time spent in primary activities 1 by married mothers and fathers with own household children under 18 by employment status of self and spouse and age of youngest child, average for the combined years 2005-09","","","","","","","","","","","","","",""
"Activity","Average hours per day","","","","","","Differences in married mothers' and fathers' time use on an average day (hours) 2","","","","","","",""
"","Both spouses work full time","","Mother not employed and father employed full time","","Mother employed part time and father employed full time","","Both spouses work full time","Mother employed part time and father employed full time","Mother not employed and father employed full time","","","","",""
"","Mothers","Fathers","Mothers","Fathers","Mothers","Fathers","","","","","","","",""
"Own household children under 18","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","","","",""
"  Personal care activities","9.01","8.62","9.39","8.76","9.10","8.45","0.39","0.65","0.64","","","","",""
"      Sleeping","8.20","8.04","8.77","8.15","8.34","7.91","0.17","0.43","0.61","","","","",""
"  Household activities","2.00","1.35","3.58","1.06","2.62","1.21","0.65","1.41","2.52","","","","",""
"      Housework","0.87","0.27","1.67","0.20","1.13","0.23","0.59","0.90","1.47","","","","",""
"      Food preparation and cleanup","0.78","0.35","1.42","0.27","1.01","0.29","0.43","0.72","1.15","","","","",""
"      Lawn and garden care","0.08","0.23","0.13","0.20","0.12","0.24","-0.14","-0.12","-0.07","","","","",""
"  Purchasing goods and services","0.58","0.37","0.75","0.37","0.70","0.33","0.21","0.36","0.37","","","","",""
"      Grocery shopping","0.13","0.06","0.20","0.08","0.17","0.06","0.07","0.11","0.12","","","","",""
"      Consumer goods purchases, except grocery shopping","0.35","0.24","0.44","0.24","0.41","0.22","0.11","0.19","0.20","","","","",""
"  Caring for and helping household members","1.26","0.86","2.62","0.85","1.94","0.94","0.40","1.00","1.77","","","","",""
"      Caring for and helping household children","1.24","0.83","2.60","0.82","1.92","0.93","0.41","0.99","1.78","","","","",""
"           Physical care","0.54","0.28","1.06","0.26","0.78","0.34","0.26","0.44","0.81","","","","",""
"           Education-related activities","0.10","0.08","0.24","0.05","0.17","0.05","0.03","0.11","0.19","","","","",""
"           Reading to/with children","0.05","0.02","0.09","0.03","0.08","0.03","0.02","0.05","0.06","","","","",""
"           Playing/doing hobbies with children","0.20","0.24","0.60","0.33","0.38","0.29","-0.03","0.08","0.27","","","","",""
"  Working and work-related activities 3","5.20","5.99","0.07","6.25","2.78","6.10","-0.79","-3.33","-6.18","","","","",""
"      Working 3","5.18","5.95","0.01","6.20","2.74","6.06","-0.77","-3.32","-6.19","","","","",""
"  Leisure and sports","2.93","3.73","4.14","3.61","3.43","3.68","-0.81","-0.25","0.53","","","","",""
"      Socializing and communicating","0.61","0.54","0.90","0.63","0.78","0.60","0.07","0.18","0.27","","","","",""
"      Watching television","1.52","2.16","2.21","1.99","1.67","1.93","-0.65","-0.26","0.22","","","","",""
"      Participating in sports, exercise, and recreation","0.17","0.33","0.23","0.28","0.23","0.33","-0.15","-0.09","-0.05","","","","",""
"  Travel  ","1.36","1.42","1.18","1.42","1.37","1.50","-0.06","-0.13","-0.24","","","","",""
"Travel related to caring for and helping household children","0.23","0.15","0.31","0.07","0.28","0.13","0.08","0.16","0.24","","","","",""
"  Other activities, not elsewhere classified","1.67","1.66","2.28","1.68","2.07","1.79","0.01","0.28","0.60","","","","",""
"","","","","","","","","","","","","","",""
"Own household children, youngest under 6","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Total, all activities ","24.00","24.00","24.00","24.00","24.00","24.00","0.00","0.00","0.00","","","","",""
"  Personal care activities","9.04","8.67","9.46","8.77","9.08","8.34","0.37","0.74","0.68","","","","",""
"      Sleeping","8.29","8.12","8.89","8.19","8.37","7.84","0.18","0.53","0.71","","","","",""
"  Household activities","1.85","1.23","3.32","1.07","2.38","1.10","0.62","1.28","2.26","","","","",""
"      Housework","0.78","0.29","1.55","0.20","1.03","0.26","0.49","0.77","1.35","","","","",""
"      Food preparation and cleanup","0.78","0.36","1.37","0.27","0.99","0.30","0.43","0.70","1.10","","","","",""
"      Lawn and garden care","0.07","0.17","0.12","0.19","0.09","0.19","-0.10","-0.11","-0.07","","","","",""
"  Purchasing goods and services","0.58","0.39","0.71","0.40","0.69","0.33","0.19","0.36","0.31","","","","",""
"      Grocery shopping","0.14","0.07","0.17","0.09","0.15","0.07","0.07","0.08","0.08","","","","",""
"      Consumer goods purchases, except grocery shopping","0.34","0.25","0.45","0.25","0.41","0.21","0.09","0.20","0.19","","","","",""
