"TABLE Q1. Incidence rates1 of total recordable cases of nonfatal occupational injuries and illnesses by quartile","","","",""
"distribution and employment size, 2019","","","",""
"Industry, NAICS code,2 and establishment employment size","Average incidence rates for all establishments: ","One-quarter of the establishments had a rate lower than or equal to: ","One-half of the establishments had a rate lower than or equal to: ","Three-fourths of the establishments had a rate lower than or equal to: "
"","(mean)","(1st quartile)","(median)","(3rd quartile)"
"All industries including state and local government3    ","","","",""
"Total all sizes","3.0","(-8-)","(-8-)","(-8-)"
"   1 - 10","1.2","(-8-)","(-8-)","(-8-)"
"   11 - 49","2.6","(-8-)","(-8-)","(-8-)"
"   50 - 249","3.5","(-8-)","2.0","5.2"
"   250 - 999","3.4","0.7","2.5","5.3"
"   1,000+","3.5","0.7","2.7","5.4"
"Private industry3    ","","","",""
"Total all sizes","2.8","(-8-)","(-8-)","(-8-)"
"   1 - 10","1.2","(-8-)","(-8-)","(-8-)"
"   11 - 49","2.5","(-8-)","(-8-)","(-8-)"
"   50 - 249","3.4","(-8-)","1.9","5.1"
"   250 - 999","3.0","0.6","2.3","4.9"
"   1,000+","2.9","0.4","2.0","4.9"
"Goods-producing3    ","","","",""
"Total all sizes","3.1","(-8-)","(-8-)","(-8-)"
"   1 - 10","2.0","(-8-)","(-8-)","(-8-)"
"   11 - 49","3.4","(-8-)","(-8-)","5.4"
"   50 - 249","3.8","0.7","2.6","5.7"
"   250 - 999","2.8","1.0","2.2","4.1"
"   1,000+","2.4","0.5","1.4","3.2"
"Natural resources and mining3,4  ","","","",""
"Total all sizes","3.4","(-8-)","(-8-)","(-8-)"
"   1 - 10","1.5","(-8-)","(-8-)","(-8-)"
"   11 - 49","3.4","(-8-)","(-8-)","4.9"
"   50 - 249","4.0","(-8-)","2.0","6.3"
"   250 - 999","3.2","0.7","1.8","6.0"
"   1,000+","3.4","0.7","2.6","5.1"
"Agriculture, forestry, fishing and hunting3    ","","","",""
"Total all sizes","5.2","(-8-)","(-8-)","3.4"
"   1 - 10","2.0","(-8-)","(-8-)","(-8-)"
"   11 - 49","4.5","(-8-)","(-8-)","6.3"
"   50 - 249","6.0","1.4","3.9","8.6"
"   250 - 999","5.6","2.5","5.2","8.8"
"   1,000+","5.2","3.1","5.0","6.5"
"Crop production (NAICS 111000)3    ","","","",""
"Total all sizes","5.3","(-8-)","1.7","7.6"
"   11 - 49","4.5","(-8-)","(-8-)","7.4"
"   50 - 249","5.7","1.1","4.0","8.3"
"   250 - 999","5.6","2.5","4.4","7.4"
"   1,000+","5.8","-","-","-"
"Machinery manufacturing (NAICS 333000)     ","","","",""
"Total all sizes","3.0","(-8-)","(-8-)","3.0"
"   11 - 49","3.3","(-8-)","(-8-)","5.4"
"   50 - 249","3.7","1.2","2.9","5.2"
"   250 - 999","2.6","1.0","2.2","3.9"
"   1,000+","2.2","0.7","1.4","3.3"
"Sports teams and clubs (NAICS 711211)     ","","","",""
"   1 - 10","-","-","-","-"
"   50 - 249","9.1","(-8-)","1.7","6.7"
"   250 - 999","25.3","2.1","6.6","28.0"
"   1,000+","5.2","-","-","-"
"Public administration     ","","","",""
"Total all sizes","6.2","(-8-)","(-8-)","3.7"
"   11 - 49","4.0","(-8-)","(-8-)","5.6"
"   50 - 249","5.7","1.3","4.1","8.4"
"   250 - 999","6.5","3.1","5.5","9.3"
"   1,000+","7.7","4.1","6.3","8.5"
"Public administration     ","","","",""
"Total all sizes","6.2","(-8-)","(-8-)","3.7"
"   11 - 49","4.0","(-8-)","(-8-)","5.6"
"   50 - 249","5.7","1.3","4.1","8.4"
"   250 - 999","6.5","3.1","5.5","9.3"
"   1,000+","7.7","4.1","6.3","8.5"
" 1 The incidence rates represent the number of injuries and illnesses per 100 full-time equivalent workers and were calculated as: (N/EH) x 200,000 where","","","",""
"   N = number of injuries and illnesses ","","","",""
"   EH = total hours worked by all employees during the calendar year  ","","","",""
"   200,000 = base for 100 equivalent full-time workers (working 40 hours per week, 50 weeks per year) ","","","",""
" 2 North American Industry Classification System -- United States, 2017","","","",""
" 3 Excludes farms with fewer than 11 employees.","","","",""
" 4 Data for Mining (Sector 21 in the North American Industry Classification System -- United States, 2017) include establishments not governed by the Mine Safety and ","","","",""
"   Health Administration rules and reporting, such as those in Oil and Gas Extraction and related support activities. Data for mining operators in coal, metal, and nonmetal mining ","","","",""
"   are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor.  Independent mining contractors are excluded from the coal, metal, and nonmetal mining  ","","","",""
"   industries. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002;  ","","","",""
"   therefore, estimates for these industries are not comparable to estimates in other industries.","","","",""
" 5 Industry added in 2019.","","","",""
" 6 Data for mining operators in this industry are provided to BLS by the Mine Safety and Health Administration, U.S. Department of Labor. Independent mining ","","","",""
"   contractors are excluded. These data do not reflect the changes the Occupational Safety and Health Administration made to its recordkeeping requirements effective January 1, 2002;  ","","","",""
"   therefore, estimates for these industries are not comparable to estimates in other industries.","","","",""
" 7 Data for employers in railroad transportation are provided to BLS by the Federal Railroad Administration, U.S. Department of Transportation.","","","",""
" 8 Data too small to be displayed.","","","",""
" NOTE: Totals for sectors and subsectors include data for industries not shown separately. ","","","",""
"    Quartile data are not available for industries with less than a minimum number of observations.  ","","","",""
"    Dash indicates data do not meet publication guidelines. ","","","",""
" SOURCE: U.S. Bureau of Labor Statistics, U.S. Department of Labor","","","",""
