"7"," Output per job and hour worked: Other industries*","","","","",""
""," United Kingdom","","","","",""
"","","","","",""," Seasonally adjusted (2019=100)"
"","","Agriculture, forestry and fishing","","","Construction",""
"","","Output per job","Output per hour worked","","Output per job","Output per hour worked"
" Section "," ","  A ","  A ","","F","F"
"Level (GBP)","","","","","",""
"","2019","36257","16.5","","57525.6","29.9"
"Indices","","","","","",""
"","","DJ4K","DJJ9","","DJD8","DJP6"
"","1990","50","","","110.5",""
"","1991","54.2","","","109.9",""
"","1992","56","","","111.7",""
"","1993","49.7","","","112.6",""
"","1994","50.2","48.6","","109","108.5"
"","1995","49.7","45.9","","109.7","107.2"
"","1996","46.7","45.7","","112.9","109.5"
"","1997","45.4","45","","113.8","108.6"
"","1998","55.5","55.5","","115.5","110.4"
"","1999","68.7","68.6","","121.4","117.5"
"","2000","81.3","81.2","","120.5","116"
"","2001","89.3","91","","118.3","114.4"
"","2002","115.3","118.2","","117.1","114.4"
"","2003","109.3","110.1","","112","110.8"
"","2004","96.2","95.6","","107.9","107"
"","2005","99","102.9","","104.6","104.4"
"","2006","99.1","101.9","","103.5","103.3"
"","2007","86.3","90.3","","100.4","100.5"
"","2008","104.3","110.2","","93.9","95"
"","2009","96","91.4","","83.8","85.6"
"","2010","76.2","72.1","","96.6","97.6"
"","2011","96","93.7","","101.6","104.5"
"","2012","82","84.2","","102.5","104.8"
"","2013","87.4","87.6","","106.7","106.6"
"","2014","106.9","107.1","","107.2","104.5"
"","2015","101.1","103.5","","108.9","107.1"
"","2016","90.1","91","","104.2","102.8"
"","2017","92.2","91.7","","104","102.7"
"","2018","84.1","84.3","","101.3","100.1"
"","2019","100","100","","100","100"
"","2020","91.9","94.8","","88.5","102.3"
"","","","","","",""
"Per cent change on previous year","","","","","",""
"","","DJ4L","DJK2","","DJE2","DJP8"
"","2000","18.4","18.3","","-0.8","-1.3"
"","2001","9.8","12.1","","-1.8","-1.3"
"","2002","29","29.9","","-1","-0.1"
"","2003","-5.2","-6.9","","-4.4","-3.2"
"","2004","-12","-13.2","","-3.7","-3.4"
"","2005","3","7.7","","-3","-2.4"
"","2006","0.1","-1","","-1.1","-1.1"
"","2007","-12.9","-11.4","","-2.9","-2.7"
"","2008","20.8","22","","-6.5","-5.5"
"","2009","-7.9","-17.1","","-10.8","-9.9"
"","2010","-20.6","-21.1","","15.3","14"
"","2011","26","30","","5.1","7.1"
"","2012","-14.6","-10.1","","0.9","0.3"
"","2013","6.5","4.1","","4.1","1.8"
"","2014","22.3","22.3","","0.5","-2"
"","2015","-5.4","-3.4","","1.6","2.5"
"","2016","-10.9","-12","","-4.2","-4"
"","2017","2.3","0.7","","-0.2","-0.1"
"","2018","-8.8","-8.1","","-2.6","-2.5"
"","2019","19","18.7","","-1.3","-0.1"
"","2020","-8.1","-5.2","","-11.5","2.3"
"","","","","","",""
"","","","","","",""
"","The estimates in this spreadsheet correspond to the estimates published in the Labour Productivity Statistical Bulletin Q3 2021 on 11 January 2022","","","","",""
"","Contact details:","","","","",""
"","productivity@ons.gsi.gov.uk","","","","",""
"","+ 44(0)1633 455086","","","","",""
