"","","","Total bankruptcies","","Petition type","","","","","","","","","","","",""
""," ","","","","Creditor's petitions2","","","","Debtor's applications3","","","","","","","",""
"Period"," ","","","","No.","","%","","No.","","%","","","","","",""
"2010","","","59,173"," ","8,542"," ","14.4","","50,631"," ","86","","","","","",""
"2011","","","41,928"," ","7,823"," ","18.7","","34,105"," ","81","","","","","",""
"2012","","","31,775"," ","6,591"," ","20.7","","25,184"," ","79","","","","","",""
"2013","","","24,565"," ","5,377"," ","21.9","","19,188"," ","78","","","","","",""
"2014","","","20,339"," ","4,783"," ","23.5","","15,556"," ","76","","","","","",""
"2015","","","15,849"," ","4,404"," ","27.8","","11,445"," ","72","","","","","",""
"2016","","","15,049"," ","3,901"," ","25.9","","11,148"," ","74","","","","","",""
"2017","","","15,106"," ","3,302"," ","21.9","","11,804"," ","78","","","","","",""
"2018","","","16,640"," ","3,658"," ","22.0","","12,982"," ","78","","","","","",""
"2019","","","16,740"," ","3,125"," ","18.7","","13,615"," ","81","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2010","Q1","","18,256"," ","2,473"," ","14","","15,783"," ","86","","","","","",""
"","Q2","","14,982"," ","2,138"," ","14","","12,844"," ","86","","","","","",""
"","Q3","","13,907"," ","2,173"," ","16","","11,734"," ","84","","","","","",""
"","Q4","","12,028"," ","1,758"," ","15","","10,270"," ","85","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2011","Q1","","12,594"," ","2,003"," ","16","","10,591"," ","84","","","","","",""
"","Q2","","11,098"," ","1,887"," ","17","","9,211"," ","83","","","","","",""
"","Q3","","9,575"," ","2,024"," ","21","","7,551"," ","79","","","","","",""
"","Q4","","8,661"," ","1,909"," ","22","","6,752"," ","78","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2012","Q1","","9,124"," ","1,899"," ","21","","7,225"," ","79","","","","","",""
"","Q2","","8,092"," ","1,667"," ","21","","6,425"," ","79","","","","","",""
"","Q3","","7,639"," ","1,595"," ","21","","6,044"," ","79","","","","","",""
"","Q4","","6,920"," ","1,430"," ","21","","5,490"," ","79","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2013","Q1","","6,674"," ","1,296"," ","19","","5,378"," ","81","","","","","",""
"","Q2","","6,477"," ","1,401"," ","22","","5,076"," ","78","","","","","",""
"","Q3","","6,009"," ","1,458"," ","24","","4,551"," ","76","","","","","",""
"","Q4","","5,405"," ","1,222"," ","23","","4,183"," ","77","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2014","Q1","","5,684"," ","1,252"," ","22","","4,432"," ","78","","","","","",""
"","Q2","","5,472"," ","1,325"," ","24","","4,147"," ","76","","","","","",""
"","Q3","","4,905"," ","1,240"," ","25","","3,665"," ","75","","","","","",""
"","Q4","","4,278"," ","966"," ","23","","3,312"," ","77","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2015","Q1","","4,410"," ","1,097"," ","25","","3,313"," ","75","","","","","",""
"","Q2","","3,974"," ","1,055"," ","27","","2,919"," ","73","","","","","",""
"","Q3","","3,894"," ","1,158"," ","30","","2,736"," ","70","","","","","",""
"","Q4","","3,571"," ","1,094"," ","31","","2,477"," ","69","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2016","Q1","","3,780"," ","1,097"," ","29","","2,683"," ","71","","","","","",""
"","Q2","","3,708"," ","960"," ","26","","2,748"," ","74","","","","","",""
"","Q3","","3,936"," ","938"," ","24","","2,998"," ","76","","","","","",""
"","Q4","","3,625"," ","906"," ","25","","2,719"," ","75","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2017","Q1","","4,082"," ","902"," ","22","","3,180"," ","78","","","","","",""
"","Q2","","3,722"," ","831"," ","22","","2,891"," ","78","","","","","",""
"","Q3","","3,738"," ","816"," ","22","","2,922"," ","78","","","","","",""
"","Q4","","3,564"," ","753"," ","21","","2,811"," ","79","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
"2018","Q1","","4,384"," ","1,024"," ","23","","3,360"," ","77","","","","","",""
"","Q2","","4,108"," ","921"," ","22","","3,187"," ","78","","","","","",""
"","Q3","","4,208"," ","928"," ","22","","3,280"," ","78","","","","","",""
"","Q4","","3,940"," ","785"," ","20","","3,155"," ","80","","","","","",""
"","","",""," ",""," ","","",""," ","","","","","","",""
