"Table 8 Scientific procedures (non-toxicology) by species of animal and techniques of particular interest","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"Great Britain 2011","","","","","","","","","","","Number of procedures","","",""
"Species of animal","Techniques of particular interest","","","","","","","","","All other","Total","","",""
"","Interference with organs of special sense","Injection into brain","Interference with brain","Psychological stress","Aversive training","Radiation","Inhalation","Thermal injury","Physical trauma","techniques","","","",""
"Mammal","","","","","","","","","","","","","",""
"  Mouse","  16,826 ","  9,120 ","  8,160 ","  582 ","  2,840 ","  23,406 ","  40,692 ","0","  2,279 ","  2,408,242 ","  2,512,147 ","","",""
"  Rat","  7,951 ","  646 ","  13,386 ","  1,324 ","  3,439 ","  257 ","  12,847 ","-","  1,372 ","  118,116 ","  159,338 ","","",""
"  All other rodents","  490 ","  60 ","-","-","-","-","  1,378 ","-","  21 ","  8,119 ","  10,068 ","","",""
"  Rabbit","  218 ","-","-","-","-","-","  24 ","-","  77 ","  4,925 ","  5,244 ","","",""
"  Cat","  6 ","-","-","-","-","-","-","-","-","  212 ","  218 ","","",""
"  Dog","-","-","-","-","-","-","  4 ","-","-","  907 ","  911 ","","",""
"  Ferret","  35 ","  3 ","-","-","-","-","-","-","-","  627 ","  665 ","","",""
"  Other carnivore","-","-","-","-","-","-","-","-","-","  757 ","  757 ","","",""
"  Horse and other equids","-","-","-","-","-","-","  12 ","-","-","  8,296 ","  8,308 ","","",""
"  Pigs, sheep & all other ungulate","  71 ","  4 ","-","  20 ","-","-","  54 ","-","  264 ","  43,911 ","  44,324 ","","",""
"  Primate","","","","","","","","","","","","","",""
"    New World monkey","-","-","  51 ","  9 ","-","-","  24 ","-","-","  158 ","  242 ","","",""
"    Old World monkey","  7 ","-","  37 ","-","-","-","-","-","-","  522 ","  566 ","","",""
"  All other mammals","  13 ","-","-","-","-","-","-","-","-","  532 ","  545 ","","",""
"Bird","  162 ","-","  250 ","  88 ","  514 ","-","-","-","-","  145,952 ","  146,966 ","","",""
"Reptile, amphibian","-","-","-","-","-","-","-","-","  73 ","  15,806 ","  15,879 ","","",""
"Fish","  587 ","-","-","  857 ","-","-","-","-","  117 ","  485,992 ","  487,553 ","","",""
"  Total","  26,366 ","  9,833 ","  21,884 ","  2,880 ","  6,793 ","  23,663 ","  55,035 ","0","  4,203 ","  3,243,074 ","  3,393,731 ","","",""
"Increase on 2010","-""#,##0"" ","-""#,##0"" ","1,222 ","564 ","-""#,##0"" ","4,340 ","4,762 ","-""#,##0"" ","-""#,##0"" ","52,929 ","60,199 ","","",""
"Percentage change from 2010","-""0f%","-""0f%","6%","24%","-""0f%","22%","9%","-""0f%","-""0f%","2%","1.8%","","",""
"Percentage of total for 2011","1%","0%","1%","0%","0%","1%","2%","0.0%","0%","96%","100%","","",""
"2010 Totals","  26,777 ","  10,386 ","  20,662 ","  2,316 ","  7,209 ","  19,323 ","  50,273 ","48 ","  6,393 ","  3,190,145 ","  3,333,532 ","","",""
"","","","","","","","","","","","","","",""
"N/A = Not applicable","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","",""
